131.100.52.0/22,BR,BR-SC,Gaspar,
2804:1bc4::/32,BR,BR-SC,Gaspar,
168.181.192.0/22,BR,BR-SC,Gaspar,
170.245.96.0/22,BR,BR-SC,Gaspar,
45.230.232.0/22,BR,BR-SC,Gaspar,
